No.,単語,品詞,意味１,意味２,意味３,意味４
161,いつしか,副詞,〈後に願望・意志の表現をともなって〉早く（～してほしい・～したい）,いつの間にか・早くも,,
162,など・などか・などかは,副詞,〈疑問〉どうして（～か）,〈反語〉どうして（～か、いや～ない）,,
163,なでふ・なんでふ,副詞,〈疑問〉どうして（～か）,〈反語〉どうして（～か、いや～ない）,,
164,なでふ・なんでふ,連体詞,なんという,,,
165,自ら（おのづから）,副詞,自然に・ひとりでに,たまたま・偶然,〈仮定・推量表現をともなって〉万一・ひょっとして,
166,うたて,副詞,不快で・気味悪く,,,
167,互に（かたみに）,副詞,互いに,,,
168,態と（わざと）,副詞,わざわざ,特別に・格別に,〈「わざとの」の形で〉正式な・本格的な,
169,然（さ）,副詞,そう・そのように,,,
170,然（しか）,副詞,そう・そのように,,,
171,斯く（かく）・斯う（かう）,副詞,こう・このように,,,
172,え,副詞,〈打消表現をともなって〉～できない,,,
173,更に（さらに）,副詞,〈打消表現をともなって〉まったく・けっして（～ない）,〈打消表現をともなわず〉さらに・その上,,
174,世に（よに）,副詞,〈打消表現をともなって〉まったく・けっして（～ない）,〈打消表現をともなわず〉実に・非常に,,
175,大方（おほかた）,副詞,〈打消表現をともなって〉まったく・けっして（～ない）,〈打消表現をともなわず〉だいたい・概して,,
176,絶えて（たえて）,副詞,〈打消表現をともなって〉まったく・けっして（～ない）,,,
177,つゆ,副詞,〈打消表現をともなって〉まったく・少しも（～ない）,,,
178,つやつや,副詞,〈打消表現をともなって〉まったく・少しも（～ない）,〈打消表現をともなわず〉すっかり・つくづく,,
179,よも,副詞,〈打消推量の助動詞「じ」をともなって〉まさか・よもや・けっして（～ないだろう）,,,
180,をさをさ,副詞,〈打消表現をともなって〉ほとんど・めったに（～ない）,しっかり・きちんと,,
181,あなかしこ,副詞,ああ、おそれ多い,〈禁止表現をともなって〉けっして（～するな）,,
182,ゆめ・ゆめゆめ,副詞,〈打消表現をともなって〉まったく・少しも（～ない）,〈禁止表現をともなって〉けっして（～するな）,,
183,な～そ,副詞,～（する）な・～（し）ないでくれ,,,
184,構へて（かまへて）,副詞,注意して・用心して,〈意志・願望表現をともなって〉必ず・きっと,〈禁止・打消表現をともなって〉けっして（～するな）,
185,なべて,副詞,一様に・一般に,並一通り・普通,,
186,語らふ（かたらふ）,動詞,語り合う・親しくする,（男女が）契る・夫婦の関係を結ぶ,説得する・仲間に引き入れる・相談する,
187,忍ぶ（しのぶ）,動詞,じっとこらえる・恋心を包み隠す,人目を避ける,,
188,偲ぶ（しのぶ）,動詞,なつかしむ・思い慕う,,,
189,答ふ・応ふ（いらふ）,動詞,返事をする・返答する・返歌する,,,
190,住む（すむ）,動詞,（男が女のもとに）通う・結婚する,（現代語と同じ）住む,,
191,困ず（こうず）,動詞,疲れ果てる,困る,,
192,会ふ・逢ふ・合ふ（あふ）,動詞,結婚する・（男女が）契る,,,
193,敢ふ（あふ）,動詞,〈打消表現をともなって〉耐えられない・がまんできない,〈動詞に付き、打消表現をともなって〉～きれない・～できない,〈「あへなむ」の形で〉差しつかえないだろう,
194,障る（さはる）,動詞,差しつかえる・妨げられる,,,
195,移ろふ（うつろふ）,動詞,心変わりする・心移りする,色あせる・散る,,
196,憂ふ・愁ふ（うれふ）,動詞,嘆き訴える・悲しみ嘆く,,,
197,搔き暗す（かきくらす）,動詞,空を暗くする・あたり一面を暗くする,心を暗くする・悲しみにくれる,,
198,あくがる,動詞,（心が）さまよい出る・うわの空になる,,,
199,潮垂る（しほたる）,動詞,涙を流す・袖が涙で濡れる,,,
200,分く（わく）,動詞,区別する・分ける,理解する・わかる,,
201,訪ふ（とぶらふ）,動詞,訪れる・訪問する,見舞う,,
202,弔ふ（とぶらふ）,動詞,追善供養する・弔問する,,,
203,設く（まうく）,動詞,準備する・用意する,,,
204,もてなす,動詞,（自分が）振る舞う,（相手・物事を）取り扱う・大切にする,,
205,ねぶ,動詞,成長する・大人びる,,,
206,慣らふ・馴らふ（ならふ）,動詞,慣れる・習慣になる,親しむ・なじむ,,
207,荒ぶ・進ぶ・遊ぶ（すさぶ）,動詞,気ままに～する・興にまかせて～する・盛んに～する,,,
208,託つ（かこつ）,動詞,不平を言う・嘆く,,,
209,止む（やむ）,動詞,〈四段〉終わる・止まる・そのままになる,〈四段〉（病気などが）治る,〈下二段〉終える・止める・治す,
210,争ふ・辞ふ（すまふ）,動詞,抵抗する・断る・辞退する,,,
211,掟つ（おきつ）,動詞,前もって決めておく・計画する,指図する・命令する,,
212,謀る（たばかる）,動詞,計画を立てる・工夫する,たくらむ・だます,,
213,結ぶ（むすぶ）,動詞,つくる・できる・結ぶ,,,
214,掬ぶ（むすぶ）,動詞,両手ですくう,,,
215,時めく（ときめく）,動詞,時流に乗って栄える・寵愛を受ける,,,
216,慎む（つつむ）,動詞,隠す,遠慮する・気がねする,,
217,ためらふ,動詞,（心を）落ち着かせる・気を静める,（病気を）落ち着かせる・療養する,（現代語と同じ）ためらう・躊躇する,
